,id,year,week,inventory_doc,material,designation,type,unit,division,store,supplier,theoritical_quantity,entred_quantity,deviation,deviation_cost,dev,date_catchment,corrected_by,catchment,delete,refecrence_inventory,inventory_number,Tys,company,currency,rate,deviation_cost_euro,week_date_cpt,year_date_cpt
1222,2857154,2022,39,100775819,IS0035257S,NSXN2T509S0088,CA,U,2010,2001,,10.00,10.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1223,2857127,2022,39,100775819,IS0035245S,NSA93892116A,CA,U,2010,2001,,109.00,109.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1224,2857275,2022,39,100775819,IS0035296S,R143075000,CA,U,2010,2001,,28.00,28.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1225,2857279,2022,39,100775819,IS0035297S,R143156000,CA,U,2010,2001,,23.00,23.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1226,2857357,2022,39,100766029,IS0035318S,RD25S0000XAA,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1227,2857299,2022,39,100775819,IS0035302S,R161844000W,CA,U,2010,2001,,28.00,28.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1228,2857304,2022,39,100775819,IS0035304S,R294C1411001,CA,U,2010,2001,,8.00,8.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1229,2857319,2022,39,100775819,IS0035307S,R404245000,CA,U,2010,2001,,36.00,36.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1230,2857520,2022,39,100775819,IS0035360S,RNF10034XSP,CA,M,2010,2001,,116.00,116.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1231,2857652,2022,39,100775836,IS0035383S,RUB921933,CA,U,2010,2001,,9.00,9.00,0.00,0.00,EUR,2022-06-21,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1232,2857436,2022,39,100775819,IS0035336S,RJFTVC7G,CA,U,2010,2001,,9.00,9.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1233,2857439,2022,39,100775819,IS0035337H,RNF1001120,CA,M,2010,2001,,4.80,4.80,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1234,2857489,2022,39,100775819,IS0035353S,RNF10029,CA,M,2010,2001,,2.40,2.40,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1235,2857493,2022,39,100775819,IS0035354S,RNF1002X,CA,M,2010,2001,,42.00,42.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1236,2857707,2022,39,100766029,IS0035401S,S280W555916,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1237,2857653,2022,39,100790355,IS0035383S,RUB921933,CA,U,2010,2001,,3.00,3.00,0.00,0.00,EUR,2022-06-30,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,26,2022
1238,2858012,2022,39,100775819,IS0035485S,SOD25X35B7541,CA,U,2010,2001,,180.00,180.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1239,2857737,2022,39,100766029,IS0035406S,S9241050800000,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1240,2858625,2022,39,100766029,IS0035644S,069001A6008EPA/KIT-WIFI,CC,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1241,2858113,2022,39,100775819,IS0035505S,THT174893,CA,U,2010,2001,,27000.00,27000.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1242,2858240,2022,39,100775819,IS0035529S,TV35211028014,CA,U,2010,2001,,13.00,13.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1243,2858548,2022,39,100775819,IS0035609S,VPNAS1102E0410,CA,U,2010,2001,,242.00,242.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1244,2858553,2022,39,100775819,IS0035610S,VPNAS1102E0412,CA,U,2010,2001,,12.00,12.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1245,2858629,2022,39,100766029,IS0035645S,073701A6022EPA/KIT-WIFI,CC,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1246,2858634,2022,39,100766029,IS0035646S,087701A5401EPA/KIT-WIFI,CC,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1247,2858638,2022,39,100766029,IS0035647S,087701A6001EPA/KIT-WIFI,CC,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1248,2858664,2022,39,100766029,IS0035658S,6349710100/BXL-VU,CC,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1249,2858670,2022,39,100775819,IS0035659S,6530207600/A31-CCP,CC,U,2010,2001,,1.00,1.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1250,2858779,2022,39,100766029,IS0035691S,ADJS0725/AGS-MEOSADASSEV3,CC,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1251,2858733,2022,39,100775819,IS0035679S,900001A6211EPA/KIT-WIFI,CC,U,2010,2001,,4.00,4.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1252,2858749,2022,39,100775819,IS0035684S,ADJS0621/AGS,CC,U,2010,2001,,1.00,1.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1253,2858755,2022,39,100766029,IS0035685S,ADJS0625/AGS,CC,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1254,2858785,2022,39,100775819,IS0035692S,ADJS1715/AGS,CC,U,2010,2001,,4.00,4.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1255,2858798,2022,39,100766029,IS0035695S,ADJS25F2200/AGS,CC,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1256,2858939,2022,39,100766029,IS0035745S,E0219AS/KIT-WIFI,CC,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1257,2858827,2022,39,100775819,IS0035700S,ADJSA115/AGS,CC,U,2010,2001,,4.00,4.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1258,2858968,2022,39,100766029,IS0035754S,FL0245-1007/AIS-AL302,CC,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1259,2858839,2022,39,100775819,IS0035703S,ADJSA221/AGS,CC,U,2010,2001,,1.00,1.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1260,2858848,2022,39,100766029,IS0035704S,ADJSA225/AGS,CC,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1261,2868902,2022,39,100775819,IS0038570H,428638,CA,U,2010,2001,,47.00,47.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1262,2859026,2022,39,100766029,IS0035770S,LED7A14BME28KL/KIT-WIFI,CC,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1263,2869393,2022,39,100775819,IS0038732S,00175520202,CA,U,2010,2001,,4.00,4.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1264,2870614,2022,39,100775819,IS0039257S,ASNE016010H/CLEANSKYEFFAR,CC,U,2010,2001,,679.00,679.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1265,2870076,2022,39,100775819,IS0039051H,863005A,CA,U,2010,2001,,16.00,16.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1266,2871043,2022,39,100775819,IS0039389S,C300428,CA,U,2010,2001,,4.00,4.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1267,2870937,2022,39,100775819,IS0039359S,BACW10P273L,CA,U,2010,2001,,93.00,93.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1268,2872053,2022,39,100775819,IS0039745S,EN3155003F2222/CLEANSKYEFFAR,CC,U,2010,2001,,298.00,298.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1269,2872793,2022,39,100775819,IS0040066S,M2305351113,CA,M,2010,2001,,90.00,90.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1270,2872291,2022,39,100766029,IS0039879S,ETIAOGRUSH,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
1271,2873115,2022,39,100766029,IS0040218S,M850499520AA,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-13,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,24,2022
