,id,year,week,inventory_doc,material,designation,type,unit,division,store,supplier,theoritical_quantity,entred_quantity,deviation,deviation_cost,dev,date_catchment,corrected_by,catchment,delete,refecrence_inventory,inventory_number,Tys,company,currency,rate,deviation_cost_euro,week_date_cpt,year_date_cpt,percent_gap,stock_accuracy
168,707434,2022,33,100808828,IS0006381S,ABS0916B04,CA,M,2300,2001,,100.00,100.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
169,707446,2022,33,100800734,IS0006382S,ABS0916B05,CA,M,2110,2001,,2150.00,2150.00,0.00,0.00,TND,2022-08-18,,X,,,,1,LTN1,TND,3.3,0.0,33,2022,0.0,True
170,707452,2022,33,100808828,IS0006382S,ABS0916B05,CA,M,2300,2001,,900.00,900.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
171,707469,2022,33,100808828,IS0006384S,ABS0916B07,CA,M,2300,2001,,330.00,330.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
172,707484,2022,33,100808828,IS0006385S,ABS0916B08,CA,M,2300,2001,,1650.00,1650.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
173,707502,2022,33,100808828,IS0006386S,ABS0916B09,CA,M,2300,2001,,150.00,150.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
174,707519,2022,33,100808828,IS0006389S,ABS09320608,CA,U,2300,2001,,8.00,8.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
175,707529,2022,33,100808828,IS0006391S,ABS09321016,CA,U,2300,2001,,11.00,11.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
176,707534,2022,33,100808828,IS0006392S,ABS09321321,CA,U,2300,2001,,7.00,7.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
177,707542,2022,33,100808828,IS0006393S,ABS09321324,CA,U,2300,2001,,22.00,22.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
178,707551,2022,33,100808828,IS0006395S,ABS09330710,CA,U,2300,2001,,981.00,981.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
179,707560,2022,33,100808828,IS0006396S,ABS09331016,CA,U,2300,2001,,68.00,68.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
180,707567,2022,33,100808828,IS0006397S,ABS09331321,CA,U,2300,2001,,118.00,118.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
181,707592,2022,33,100808828,IS0006401S,ABS093506,CA,U,2300,2001,,47.00,47.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
182,707600,2022,33,100808828,IS0006402S,ABS093507,CA,U,2300,2001,,734.00,734.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
183,707610,2022,33,100808828,IS0006403S,ABS093510,CA,U,2300,2001,,23.00,23.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
184,707636,2022,33,100808782,IS0006407S,ABS094002,CA,U,2300,2001,,229.00,229.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
185,708272,2022,33,100808784,IS0006497S,ABS1069004A01,CA,U,2300,2001,,104.00,104.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
186,708352,2022,33,100808807,IS0006514S,ABS1145A15P03A,CA,U,2300,2001,,279.00,279.00,0.00,0.00,EUR,2022-08-16,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
187,708674,2022,33,100808784,IS0006623S,ABS1426P1802NF,CA,U,2300,2001,,81.00,81.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
188,708886,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
189,708887,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
190,708888,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
191,708889,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
192,708890,2022,33,100808782,IS0006646S,ABS147501,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
