,id,year,week,purchase_requisition,item_of_requisition,deletion_indicator,purchasing_group,material,division,transferring_division,qte_requested,requisition_date,release_date,valuation_price,base_price,supplier,outline_agreement,principal_agmt_item,purchase_order,purchase_order_item,value
175,158855,2022,41,115125618,10,,MA0,4930139,2400,0,21.0,2021-11-06,2021-10-27,0.0,0.0,F05699,4600002213.0,780,,0,0.0
176,158856,2022,41,115125619,10,,MA0,4930139,2400,0,13.0,2021-11-06,2021-09-28,0.0,0.0,F05699,4600002213.0,780,,0,0.0
177,158857,2022,41,115125621,10,,MA0,4930473,2400,0,10.0,2021-11-06,2022-01-19,0.0,0.0,FM0113,,0,,0,0.0
178,158858,2022,41,115125622,10,,MA0,4930603,2400,0,4.0,2021-11-06,2020-11-16,0.0,0.0,,,0,,0,0.0
179,158859,2022,41,115125623,10,,MA0,4930483,2400,0,42.0,2021-11-06,2021-06-22,0.0,0.0,FM0136,,0,,0,0.0
180,158860,2022,41,115125624,10,,MA0,4930484,2400,0,50.0,2021-11-06,2021-05-21,0.0,0.0,FM0136,,0,,0,0.0
181,158861,2022,41,115125625,10,,MA0,4930489,2400,0,1.0,2021-11-06,2021-08-19,0.0,0.0,FM0058,,0,,0,0.0
182,158862,2022,41,115125626,10,,MA0,4930400,2400,0,10.0,2021-11-06,2021-09-02,0.0,0.0,F05699,4600002213.0,60,,0,0.0
183,158863,2022,41,115125627,10,,MA0,4930522,2400,0,10.0,2021-11-06,2021-07-05,0.0,0.0,F05699,4600002213.0,1250,,0,0.0
184,158864,2022,41,115125628,10,,MA0,4930522,2400,0,72.0,2021-11-06,2021-05-20,0.0,0.0,F05699,4600002213.0,1250,,0,0.0
185,158865,2022,41,115125630,10,,MA0,4930428,2400,0,6.0,2021-11-06,2021-08-30,0.0,0.0,F05699,4600002213.0,390,,0,0.0
186,158866,2022,41,115125631,10,,MA0,4930433,2400,0,36.0,2021-11-06,2021-10-04,0.0,0.0,F05699,4600002213.0,450,,0,0.0
187,158867,2022,41,115125633,10,,MA0,4930560,2400,0,10.0,2021-11-06,2021-09-02,0.0,0.0,F05699,4600002213.0,1330,,0,0.0
188,158868,2022,41,115125634,10,,MA0,4930461,2400,0,11.0,2021-11-06,2021-08-04,0.0,0.0,F05699,4600002213.0,740,,0,0.0
